2019-10-26 13:46:31.046 [main] ERROR  - 4 : 72 - cvc-elt.1.a: Cannot find the declaration of element 'flowers'.
2019-10-26 15:37:11.525 [main] ERROR  - 4 : 72 - cvc-elt.1.a: Cannot find the declaration of element 'flowers'.
2019-10-26 15:44:46.665 [main] ERROR  - 4 : 72 - cvc-elt.1.a: Cannot find the declaration of element 'flowers'.
2019-10-26 15:46:42.569 [main] ERROR  - 4 : 72 - cvc-elt.1.a: Cannot find the declaration of element 'flowers'.
2019-10-26 15:50:06.873 [main] ERROR  - 4 : 72 - cvc-elt.1.a: Cannot find the declaration of element 'flowers'.
2019-10-26 15:51:20.978 [main] ERROR  - 4 : 72 - cvc-elt.1.a: Cannot find the declaration of element 'flowers'.
2019-10-26 15:52:35.201 [main] ERROR  - 4 : 72 - cvc-elt.1.a: Cannot find the declaration of element 'flowers'.
2019-10-27 00:57:53.903 [main] ERROR  - 4 : 72 - cvc-elt.1.a: Cannot find the declaration of element 'flowers'.
2019-11-04 12:42:34.899 [main] ERROR  - 5 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:42:35.399 [main] ERROR  - 8 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
2019-11-04 12:42:35.399 [main] ERROR  - 10 : 25 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":temprature}'. One of '{"http://www.ysenko.by/flowers":temperature}' is expected.
2019-11-04 12:42:35.399 [main] ERROR  - 22 : 14 - cvc-complex-type.4: Attribute 'id' must appear on element 'blossom'.
2019-11-04 12:42:35.399 [main] ERROR  - 26 : 17 - cvc-complex-type.2.4.a: Invalid content was found starting with element '{"http://www.ysenko.by/flowers":origin}'. One of '{"http://www.ysenko.by/flowers":growing_tips}' is expected.
